Texto,Texto,Texto,,,,,
,,Would you like to sign up to an email alert when a new Moneyist column has been published, If so click on this link.,,,,
Next came Bridgeport-Stamford-Norwalk Conn. where the average income from dividends and qualified dividends were $23800 and $19300 respectively.,,,,,,,
,,The board approved a five-year fiscal plan Tuesday the Post said. The plan projects that $82 billion in anticipated federal disaster funds will bolster the U.S. territory’s economy better positioning it to pay off debts in the future.,,,,,
,On the positive side you are seeing the first pointer given in “How to potentially become a marijuana millionaire albeit carefully” coming into play. Astute marijuana investors will take advantage of the drop and may end up making money in the long run. Let’s explore the real reason for the decline in marijuana stocks with the help of a chart.,,,,,,
,So you must positioning yourself for that tasty bounce we’ve grown accustomed to over the course of this stubborn bull market. Well don’t warns J.C. Parets the technical analyst behind the All Star Charts blog.,,,,,,
,,SALEM MASS. — Where better to explore the connection between witchcraft and Wall Street than this spooky old New England town, It’s been linked to the occult since the witch trials of the 1690s and now hosts so many psychics mystics and fortune-tellers that they are licensed and regulated by city ordinance.,,,,
,,One of the most surprising outcomes of Fischer’s experience may be that the offer she accepted came from a buyer represented by a Realtor - meaning she and Andrew paid that broker’s 3% fee. “There was just a little bit of a comfort level” with knowing that the buyer had been vetted by a professional Fischer told MarketWatch even though ShowPal will also help with that part of the process. Even after paying that commission Fischer estimates the family saved nearly $9000 in the transaction and hundreds more at closing.,,,,,
,,The first thing you should consider is simplicity. If you’re happy with your current employer’s 401(k) it will be simpler for you to roll everything into your current 401(k) plan. A good plan has a variety of investment options and low fees.,,,,,
,,Have breaking news sent to your inbox. Subscribe to MarketWatch's free Bulletin emails. Sign up here.,,,,,
,,Also read: FEMA director denies he was asked to resign questions Puerto Rico death toll.,,,,,
,,President Trump is credited by foes and fans alike with a capacity not only to attract attention at will but to trigger the reaction he desires whether ire or ardor distraction or elation. Even close observers are at times left wondering precisely what they’ve heard and seen and how they should respond.,,,,,
Suze Orman did a smackdown of the FIRE (Financial Independence/Retire Early) movement on Paula Pant’s podcast. She said she “hates it hates it hates it.” Interesting since her publicist asked Paula for the interview as well as asking this of other FIRE podcasters in order to push Suze’s new book products and events. Talk about inviting yourself to dinner and then complaining about the food!,,,,,,,
,,What Trump’s tweet about your retirement plan really says is: if Democrats get control of Congress they’ll repeal his tax reform which will hurt the economy employment and wage growth said Allan Katz founder of Comprehensive Wealth Management Group in Staten Island N.Y. “His tweets are calculated” Katz said. “He knows what he’s trying to accomplish and it has nothing to do with your 401(k) but the midterm election.”,,,,,
,Elsewhere Italy was told to revise its budget by the European Commission on Tuesday according to news reports as the jostling between the country’s antiestablishment government and Brussels persists.,,,,,,
,,Facebook released its “Ad Archive Report” on Tuesday saying it’s part of its efforts to “increase transparency in advertising.” The Silicon Valley company is making changes after getting criticized this year for how groups used its platform during the 2016 U.S. presidential campaign.,,,,,
,Opinion: Suze Orman missed the point of retirement and that’s why she went back to work,,,,,,
,Analysts polled by FactSet expect Tesla to report an adjusted loss of 3 cents a share on sales of $6.01 billion. That would compare with an adjusted loss of $2.92 a share on sales of $2.99 billion in the year-ago period.,,,,,,
"Other chip-related companies reporting earnings this week include Silicon Laboratories Inc. SLAB -1.32%

     on Wednesday and Cypress Semiconductor Corp. CY -1.50% Entegris Inc. ENTG +0.19%

     and Monolithic Power Systems Inc. MPWR +0.45%

     on Thursday.",,,,,,,
,,Those taking tanezumab meanwhile reported statistically significant improvements on three different measures of their condition including pain and physical function as compared with the placebo.,,,,,
First place was the Naples Fla. area. Nearly 30% of the tax returns from that area show capital gains and the average reported from those gains was just under $97000 SmartAsset found.,,,,,,,
,,The lawsuit lists a number of defendants that include Alibabacoin Foundation aka ABBC Foundation, ABBC Block Chain IT Solutions LLC, Alibabacoin General Trading FZE, Alibabacoin Foundation LLC and Jason Daniel Paul Philip and Hasan Abbas the founders of the company.,,
,,After sharing some details pushing some stones around on a table shuffling a deck of cards and thinking deep thoughts I got to ask one question.,,,,,
Adding to trade war concerns a recent Morgan Stanley survey of chip distributors found that oversupply indicators currently look worse than those encountered in the sectors last big down turn in 2015.,,,,,,,
,,Down an alley I found a magic store offering readings. At the back behind the bric-a-brac I crossed a man’s palm with silver (actually with green paper) for a quick reading on tarot cards. Anyone expecting a mysterious levitating genie in a flowing robe would be disappointed. He was a bald dude who didn’t look noticeably different from your average New England Patriots fan.,,,,,
A 10% reduction then would cost $174 billion for one year or $2.24 trillion over a decade.,,,,,,,
,,If the first step is admitting there’s a problem Snap has done as much. In a detailed memo leaked to Cheddar Chief Executive Evan Spiegel told employees that he rushed the recent Snapchat redesign and discussed his ambitious goal of reaching profitability in 2019.,,,,,
,,“And in light of our forecasts that China’s economy will continue to lose momentum and that the U.S. economy will slow sharply in 2019 we expect them to continue to underperform” they said in a Tuesday note. “This would be consistent with what has happened in previous economic downturns.”,,,,,
,,In his latest tweet about 401(k) plans on Sunday the president touted the “best jobs numbers in the history of our great country” and said Democrats could never do nearly as well. “So why wouldn’t we win the Midterms” he said. “Think of what will happen to your now beautiful 401-k’s!”,,,,,
,,The returns for the other six months of the year from May to October, Just 2.1%. No kidding. That as the authors dryly note was less than you could have earned on average in the bank.,,,,
Taxable interest income is defined as money people earned from savings accounts and certificates of deposit. Dividends are from ownership of stocks, qualified dividends are those people have owned long enough to meet the IRS’s holding period qualification. And capital gains income is the money earned by selling assets including stocks and bonds.,,,,,,
An important pointer for investors to carefully make millions in marijuana stocks is to learn how to properly size their positions and how to build the position sizes correctly.,,,,,,,
,,Hello there MarketWatchers. Check out the Moneyist private Facebook group where we look for answers to life’s thorniest money issues. Readers write in to me with all sorts of dilemmas: inheritance wills divorce tipping gifting. I often talk to lawyers accountants financial advisers and other experts in addition to offering my own thoughts. I receive more letters than I could ever answer so I’ll be bringing all of that guidance — including some you might not see in these columns — to this group. Post your questions tell me what you want to know more about or weigh in on the latest Moneyist columns.,,,,,
,,In a recent interview with Russian news agency TASS that also served to keep a lid on oil prices Monday the Saudi energy minister Khalid al-Falih said Saudi Arabia would increase crude production to 11 million barrels a day compared with its current average of 10.7 million barrels a day. Al-Falih said his job was to implement the government’s “constructive and responsible role” in stabilizing the world’s energy markets.,,,,,
,Mike O’Rourke chief market strategist at JonesTrading said that Caterpillar and 3M earnings are providing evidence that the twin headwinds of rising inflation and the effects of new tariffs are starting to take a bite out of profits. “Caterpillar citing rising costs shows that the trade war is hitting home” he said. “It’s industrials like Caterpillar that struggle when you’re at a cyclical top” he added suggesting that the stock’s struggles don’t bode well for the market going forward.,,,,,,
,,I have no clue what these long-term bonds are doing in this portfolio. Was this a poor decision which will definitely result in losses if we sell the bonds before the end of the coupon date, Everything is set up as a trust with shares to be divided equally between my sister and I upon my mother’s passing with a percentage distributed to my children.,,,,
,,The awards “were not directly awarded to you” the August decision said. “They were awarded for your performance as part of a sports team…[W]e do not consider such honors to be a nationally or internationally recognized prize or award for excellence in the field of endeavor because it is limited to members of that association and participants of those competitions.”,,,,,
,,This mother has a similar dilemma to you. She wants to give her daughter every advantage too but her family had experienced generations of poverty. She has nothing. In some ways instilling opportunity and ambition and wonderment in a child costs the price of a library card and your time. This woman reached out to Reddit and users on that site told her to visit a library at least once a week go places that don’t cost money read together as a family and often.,,,,,
,,Pfizer shares have surged 18% over the last three months and Eli Lilly shares have surged 23% compared with a 3.3% decline in the S&P 500 SPX -0.55%,,,,,
,,While several U.S. lawmakers have called for exploring possible sanctions on Saudi Arabia the Trump administration has been seen as reluctant to pursue measures particularly as renewed sanctions on Iran take full effect next month.,,,,,
,He laid out some more troubling divergences but you get the idea. Parets who was much more bullish on stocks over the summer now sees a crash on the horizon and he recommends investors lighten their equity load.,,,,,,
Another divergence we haven’t seen since the 2015 top and before that the 2007 top is the relationship between consumer staples and the broader market.,,,,,,,
,,"DJIA -0.50%

    On Monday Dow industrials and the S&P 500 closed lower while the Nasdaq bucked the trend to edge higher.",,,,,
,,See: Snap stock volatile after first quarterly guidance and user decline,,,,,
,,Providing critical information for the U.S. trading day. Subscribe to MarketWatch's free Need to Know newsletter. Sign up here.,,,,,
,Despite the pot-stock sector selloff a study on the American consumer conducted by GfK MRI in collaboration with Miner & Company Studio estimates that over 38 million U.S. adults or 16% of the adult population use marijuana with 10% of the population consumer it at least once a month and 4% using on a daily basis.,,,,,,
Tesla Inc. stock rallied more than 9% Tuesday after famed short seller Citron Research turned long on it saying that the Model 3 is “a proven hit” and that many of the “warning signs” about the Silicon Valley car maker have proven to be insignificant.,,,,,,,
,,You make the call.,,,,,
,,"China’s downturn appeared to spark a global equity selloff that saw European shares fall and U.S. stocks decline with the Dow Jones Industrial Average DJIA -0.50%

     falling 548 points at its session low before paring losses to end around 126 points lower a decline of 0.5%. The S&P SPX -0.55%

     fell 0.6% Tuesday.",,,,,
,,They are preparing to update their paper to include dramatically expanded research.,,,,,
I think there is retiring forward and retiring backward. Suze did what many early retirees do. She left her day job. She got rid of excess not needed in a post-job life. For most it’s getting rid of the car to impress clients or five suits for a weekly rotation at the office. For Suze it was five cars and five homes.,,,,,,,
Related:  Tesla’s sales in the U.S. are gaining on BMW and other luxury car makers,,,,,,,
,,Do you have questions about inheritance tipping weddings family feuds friends or any tricky issues relating to manners and money, Send them to MarketWatch’s Moneyist and please include the state where you live (no full names will be used).,,,,
,For myself post-FI life has thrown plenty my way. Cancer. The death of a partner. Homeowner miseries like a flooded basement failed siding and carpenter ants. But none of this has thrown me. I find that much of what happens in early retirement can be addressed fairly easily through a combination of building close relationships with family and friends insurance a prudent stash in a money-market fund level-headed and lower-cost choices a MacGyver DIY knack and some gigging.,,,,,,
,,It wasn’t the riskiest or the most exciting thing to do with her lump sum especially given her family’s history with reckless investments and more than a dash of bad luck but it was the smartest. “I collect rent from some apartments I own in the city” she told me. “That allows me to be an author and focus much of my attention on writing. It’s been a journey learning about finance and real estate and being independent. I had to figure it out on my own.”,,,,,
Third-quarter results arrive nearly three weeks after Musk took swipes at the Securities and Exchange Commission and at short sellers by calling the SEC the “Shortseller Enrichment Commission.”,,,,,,,
,,Meanwhile China has been readying a fresh round of monetary and fiscal stimulus to help support its economy and its stock market with the government recently announcing plans for boosting bond financing for private firms and cutting taxes for households.,,,,,
"The hardest hit chip stocks in October have been Nvidia Corp. NVDA -4.39% and Advanced Micro Devices Inc. AMD +0.24% which are down 21% and 19% respectively in the month to date. They are followed by shares of Micron Technology Inc. MU -2.72%

     and Microchip Technology Inc. MCHP +0.58% which are both down around 15% for the month.",,,,,,,
,,I own two other properties my primary residence and a vacation home and my work income is sufficient to live on without the rental income. (I travel a lot and use some of the rental income for that and invest whatever is left.) I am semi-retired at the age of 60 and plan to fully retire in two years. I have a number of retirement accounts including traditional SEP and Roth IRAs and have no debt.,,,,,
“The Fed the Trump the ebola or whatever excuse du jour is being regurgitated on the various media outlets” Parets wrote. “The only one to blame is ourselves.”,,,,,,,
,,Dear Moneyist,,,,,
,,If a taxpayer’s family member dies they may be granted a waiver. As an illustration in one case a taxpayer’s husband died after taking money out of his IRA and transferring it to a personal bank account. While managing her husband’s estate she realized a rollover had not occurred and the 60-day window had passed. In this case the IRS allowed the taxpayer to complete the rollover notwithstanding the fact that the 60-day period had expired. In other cases the state of mind of the mourning taxpayer was considered in allowing a valid rollover after the 60-day period.,,,,,
,,The case follows an attempt in April which was denied on the grounds that “Alibaba has not met its burden to establish a reasonable probability that the Court has personal jurisdiction over Alibabacoin” which is listed as being based in both Dubai and Belarus.,,,,,
FIers might travel to exotic places. For some it’s backpacking. For Suze it was living on her private island.,,,,,,,
,,Usually when someone digs up a strategy or anomaly like this all the world jumps into it and the advantage gets traded away. But not this time. “It seems to defy economic gravity” they write. “It does not disappear or reverse itself as theory dictates it should… The fact that trading on this strategy is particularly simple makes its continued existence even more surprising.”,,,,,
,,Don’t miss: Should we hide our Silicon Valley wealth from our children,,,,,
According to the Congressional Budget Office the U.S. will collect $1.74 trillion in individual income taxes in the current September-ending fiscal year and $22.38 trillion over a decade.,,,,,,,
Tesla surprised markets on Monday by setting the date for its third-quarter results about two weeks earlier than its usual date. Tesla did not return a request for comment from MarketWatch late Monday about the decision to fast-forward earnings with little notice.,,,,,,,
,Tesla Inc. stock rallied more than 9% Tuesday after famed short seller Citron Research turned long on it saying that the Model 3 is “a proven hit” and that many of the “warning signs” about the Silicon Valley car maker have proven to be insignificant.,,,,,,
Musk has vowed to show profits in the third and fourth quarters.,,,,,,,
,,I would like her to go to private school but we can’t afford that either. But she could. I am really torn.,,,,,
,,Mike O’Rourke chief market strategist at JonesTrading said that Caterpillar and 3M earnings are providing evidence that the twin headwinds of rising inflation and the effects of new tariffs are starting to take a bite out of profits. “Caterpillar citing rising costs shows that the trade war is hitting home” he said. “It’s industrials like Caterpillar that struggle when you’re at a cyclical top” he added suggesting that the stock’s struggles don’t bode well for the market going forward.,,,,,
,Read MarketWatch’s interview with Vicki Robin,,,,,,
,,"Whitbread PLCWTB -1.52%

      said it would distribute a significant amount of the proceeds from the sale to shareholders.",,,,,
,,Providing critical information for the U.S. trading day. Subscribe to MarketWatch's free Need to Know newsletter. Sign up here.,,,,,
,• In marijuana-related stocks smart money flows are negative for GW Pharmaceuticals GWPH +2.53% Scotts Miracle-Gro SMG -2.99% and Constellation Brands STZ -1.95%,,,,,,
,,Fair warning: using the self-certification process may be an audit trigger for the IRS. However you should be fine if:,,,,,
,Coach Carson posted a balanced informative response appreciating Suze’s admonition to be sure you have enough for a risk-free retirement. Suze enumerated a string “what can go wrong” scenarios as evidence that early retirement (on less than $10 million) leaves you vulnerable when life hands you lemons — a whole tree of lemons. He — and MMM — responded evenhandedly but ultimately here’s what Carson said she got wrong:,,,,,,
,,Thanks Phil,,,,,
,,Investors betting on a Snap Inc. turnaround don’t have to look far for inspiration.,,,,,
,,One top-ranked Canadian-born ice skater wants to bring America the gold but immigration authorities say she’s not special enough to deserve a path to citizenship.,,,,,
,,In short the researchers found looks do matter. And yes incentives also play a role — but our understanding of them may be fuzzy.,,,,,
The short seller had long held that by the time of the Model 3’s arrival “multiple” 200-mile range electric vehicles would have been on the market it said Tuesday.,,,,,,,
,In March it predicted the stock would fall to $100 by year’s end. Citron’s Andrew Left is also among the several investors and short sellers who have filed class-action lawsuits against Tesla for alleged securities law violations stemming from Chief Executive Elon Musk’s going-private tweets in August.,,,,,,
,,As a general rule rollovers will not be accepted by a financial institution after the 60-day rollover period has expired. If however you use the boiler plate document from the appendix of Revenue Procedure 2016-47 and give this short form to the trustee of the company to which you are rolling your funds then the financial institution will treat the distribution as a qualified rollover. In addition to using the form you should complete the rollover as soon as possible (there is a 30 day safe-harbor-period after the reason for the delay no longer prevents the taxpayer from making the contribution).,,,,,
,,During the interview he also said the Saudis want to sign a new cooperation agreement that is “open-ended” with no fixed term which would allow the Organization of the Petroleum Exporting Countries and non-OPEC countries to lift or lower production as needed to balance the market.,,,,,
,,He sees real estate as no different than other behemoth markets that are now being dragged into the 21st century like car-sharing and short-term home rentals have been upended by Uber and AirBNB. And for now there are still opportunities for real-estate agents to offer their services on a contract basis for ShowPal transactions.,,,,,
,,The White House maintains that if the United States implemented policies similar to those in place in Nordic countries in the 1970s American families earning the average wage would be taxed $2000 to $5000 more per year net of transfers. The report concludes U.S. GDP would decline by about $11000 per year per person if 1970s-style Nordic policies were in place and by $24000 per year if “highly socialist” policies were in place.,,,,,
,,Dear Concerned,,,,,
,,Only after a series of searching conversations can an adviser create a truly comprehensive financial plan. Better yet the savvy adviser guides the client to stay on track and make needed adjustments to attain goals.,,,,,
,Check out: MarketWatch’s comprehensive coverage of the cannabis sector including profiles of a number of key players in one place.,,,,,,
,,Taxable interest income is defined as money people earned from savings accounts and certificates of deposit. Dividends are from ownership of stocks, qualified dividends are those people have owned long enough to meet the IRS’s holding period qualification. And capital gains income is the money earned by selling assets including stocks and bonds.,,,,
,,U.K. leisure group Whitbread is set to sell Costa Coffee chain to U.S. soft-drinks maker Coca-Cola for roughly £4bn (or $5.2 billion).,,,,,
,,If your principal residence was damaged you may be able to receive a waiver (e.g. your house was damaged during the 60-day period by a hurricane). An important note about this provision is that damage to one’s home may not be enough to grant a waiver in and of itself. It would be helpful to show that the damage actively prevented you from completing the rollover.,,,,,
,,“For-sale-by-owner is not for everybody” Torstenson told MarketWatch “but if we were able to solve some of the friction points and educate the community that they can do it empower them to do it then we said this needs to happen in the real estate market.”,,,,,
,,Not everyone agrees that your husband paying off your mortgage is a problem. “It will likely be water under the bridge unless he could really prove you orchestrated the depletion of his separate property” says Randy Kessler an Atlanta-based lawyer and author of “Divorce: Protect Yourself Your Kids and Your Future.” Kessler doesn’t advise against it. “You’d be in a better position than if the money was still in his separate account.” Again my caveat: It may not go your way.,,,,,
Heart patients spend most of their waking hours sitting lying down but remaining sedentary for long periods could shorten their life research suggests. Taking breaks and burning more than 770 calories per day should help prolong their life said Ailar Ramadi postdoctoral fellow in the Faculty of Rehabilitation Medicine at University of Alberta Edmonton and author of the latest paper.,,,,,,,
,,Analysts at AJ Bell said the focus for Whitbread would now be on its chain of Premier Inn hotels.,,,,,
Semiconductor-related stocks were leading a broader tech selloff in October and showing a technical bearish signal from one index as the sector heads into the peak of earnings season amid concerns about a trade war with China.,,,,,,,
,,Traders focused on Saudi Arabia’s pledge to play a “responsible role” in energy markets despite international criticism over the killing of dissident journalist Jamal Khashoggi.,,,,,
,,• Your original intent was to rollover the funds in the stated period,,,,,
,2. Early retirees are not wild risk-takers. They are calculated risk-takers. They see the old bargain of a 9-to-5 job until they’re 70 as riskier than an early retirement.,,,,,,
,"McDonald’s Corp. MCD +6.31%

     led Dow advancers rising 6.3% after announcing third-quarter results.",,,,,,
,Check out: MarketWatch’s comprehensive coverage of the cannabis sector including profiles of a number of key players,,,,,,
,,• There is documentation that proves the claim,,,,,
,,Don’t miss: How a “no-deal Brexit” could play out for U.K. stocks,,,,,
,,Would you like to sign up to an email alert when a new Moneyist column has been published, If so click on this link.,,,,
,,Even though immigration officials in past administrations weren’t the fairest according to Piston now “adjudicators are no longer acting like adjudicators but opposing counsels.”,,,,,
,,Democrats have been critical of Trump’s tax law known as the Tax Cuts and Jobs Act of 2017. No Democrats voted for the tax bill last year and have continued to criticize it saying it mostly benefits wealthy households. They’ve also argued the tax law will increase federal budget deficits for the foreseeable future while Republicans countered the TCJA will boost the U.S. economy.,,,,,
,,See: Will midterm elections sink the stock market, Here’s what history says,,,,
,,Hello there MarketWatchers. Check out the Moneyist Facebook group where we look for answers to life’s thorniest money issues. Readers write in to me with all sorts of dilemmas: inheritance wills divorce tipping gifting. I often talk to lawyers accountants financial advisers and other experts in addition to offering my own thoughts. I receive more letters than I could ever answer so I’ll be bringing all of that guidance — including some you might not see in these columns — to this group. Post your questions tell me what you want to know more about or weigh in on the latest Moneyist columns.,,,,,
,,3M Co.  MMM -4.38% stock dropped 4.4% after the company’s third-quarter profit and revenue missed and it issued downbeat 2018 guidance. Together 3M Co. and Caterpillar combined to account for nearly half the Dow’s loss at Tuesday’s open,,,,,
,,“When you consider everything that is happening right now—Italy Brexit Saudi Arabia a Chinese growth slowdown trade wars the pending U.S. midterm elections and I could go on—almost all the news we see every day is bad. The surprise is not that markets are reacting, it is that markets did not react sooner and that they have not reacted harder” wrote Brad McMillan chief investment officer at Commonwealth Financial Network in a note. “We can expect more volatility. But with strong economic fundamentals in place it is reasonable to conclude that this turbulence is probably just another 2016 or 2018—i.e. a sharp pullback that will be reversed in the next couple of months.”,,,,
,,This article is reprinted by permission from NextAvenue.org © 2018 Twin Cities Public Television Inc. All rights reserved.,,,,,
,,Torstenson argues that the ShowPal model is “resilient no matter what market you’re in:” in a buyer’s market sellers need to watch every penny whereas if homes are flying off the market there’s no reason to pay a commission. But Blomquist thinks agents “really do show their value” for whichever side of the transaction is under pressure meaning that while sellers might be able to go it alone now that could soon change.,,,,,
,Harley-Davidson Inc. HOG -2.22% fell 2.2% even after surprising investors with faster international retail sales growth that put third-quarter earnings and revenue well beyond analysts’ estimates. Separately the company announced a voluntary recall of 238300 motorcycles over a hydraulic clutch assembly.,,,,,,
,,I wish you the best taking care of your mother in her final years and making sure those years are free of financial worries and comfortable.,,,,,
,,In his decision Judge Paul Oetken said renewed application for a preliminary injection is granted adding it “enjoins defendants from using the ALIBABA Marks as Alibaba has defined that term in its application for a preliminary injunction alone or in combination with any words terms designations marks or designs—as well as any mark image or depiction that is confusingly similar to or likely to impair the distinctiveness of the ALIBABA Marks—anywhere in the United States.”,,,,,
,,And it would appear that there is a double standard. An article in the Harvard Business Review which looked at 200 performance reviews within one company revealed bias in this type of feedback. The results tallied the number of references to being “too aggressive” in the reviews and not surprisingly 76% of the instances were attributed to women while only 24% of men were identified as having such a communication style.,,,,,
The first thing to consider is the income tax paid currently by taxpayers.,,,,,,,
,,Fischer has high praise for the company’s support and communication and she loved ShowPatrol the company’s on-site showing service noting that trying to do an open house yourself is “super awkward.”,,,,,
,The recent rebound “was a dead cat bounce” said Michael Wilson an equity strategist at Morgan Stanley in a report. “We look for confirmation with a definitive break of the S&P 500 through its 200-day moving average.”,,,,,,
,,Pending regulatory approval in Europe and China the sale will close during the first half of next year.,,,,,
,,The chairman of the White House Council of Economic Advisers Kevin Hassett defended the report. “I think that my role at CEA is not to be a politician but to be an analyst” he said on a conference call. “And if our study convinced people of all parties that if they rely on central planning and try to reduce the influence of private property by either specifically nationalizing things or regulating and taxing things just about into oblivion that that would be bad for the overall economy then I would feel like the paper had accomplished its objective.”,,,,,
,,The professors call it a “puzzle.” Or is it something creepier, The Halloween effect has lasted at least since the days of the Salem witch trials they found. They have stock-market data for London going back to the 1690s. Over that period calculate Jacobsen and Zhang an investor who only bought at Halloween each year — and then sold six months later — would have trounced the overall stock-market returns.,,,,
Vicki Robin the co-author of “Your Money or Your Life” is often called one of the founders of the FIRE movement. This is an abridged version of a blog post — “Suze Orman — A Wet Blanket on FIRE” — that appeared on her website.,,,,,,,
,,ShowPal’s Torstenson is more blunt. “While it has value to the Realtor I’m not sure it has value to the consumer” he said. And he believes consumers are driving the activity on the buyer’s side of the transaction by browsing sites like Zillow.,,,,,
,,And see: How Corporate America’s lobbying on tariffs has surged — in one chart,,,,,
,,For Veres embracing a fee-only model is only part of the answer. Another key to success involves harnessing the latest technological tools from online appointment scheduling apps to electronic signature software to maximize operational efficiency.,,,,,
,,Also see:  How low will the Dow go, Brace yourself for the worst-case scenario,,,,
,,Read: Italy is ‘the No. 1 risk factor in the fourth quarter’ for European investments,,,,,
,“If it doesn’t happen then so be it. But why not be aware that it is certainly on the table and the evidence is piling up” he said. “What if we just grind sideways for six months and don’t collapse, Either way crash or long sideways grind I still don’t want to be long.”,,,,,
,[This report was originally published Monday.],,,,,,
,,Get a daily roundup of the top reads in personal finance delivered to your inbox. Subscribe to MarketWatch's free Personal Finance Daily newsletter. Sign up here.,,,,,
,,If you don’t like the current plan you should continue to participate and get your match. You still can make things a little more organized by rolling the 401(k)s from prior employers into an IRA. You’d only have two accounts to deal with — your 401(k) at your current employer and your IRA.,,,,,
,,Read:  Opioids are ravaging the U.S. but they’re still the best pain drug we’ve got,,,,,
,,—Chris Matthews and Barbara Kollmeyer contributed to this article,,,,,
• To invest successfully in marijuana stocks avoid this one thing,,,,,,,
,,Spooky no,,,,,
,,The materials sector briefly slipped into bear-market territory earlier Tuesday before paring some losses but was still on track for the lowest close in 17 months. The SPDR Material Select Sector ETF XLB -0.99% was down as much as 3.1% at an intraday low of $51.03 which was 20.4% below the Jan. 26 record close of $64.09. Declines of 20% or more from a bull-market peak are viewed by many on Wall Street as defining a bear market. The sector tracker (XLB) bounced slightly since and was down 1.2% at $52.05 in afternoon trade which was 18.8% below its record and on track for the lowest close since May 18 2017. The materials sector was seen as one of the most promising in a Trump presidency as it includes companies that would benefit from infrastructure spending including building a border wall and from measures to boost the mining industries. But after running up 21.8% in 2017 to outpace the S&P 500's SPX -0.55% 19.4% rise the XLB has tumbled 14.0% so far this year compared with a 2.1% rise in the S&P 500.,,,,,
Read: Dow plunges amid corporate outlook China selloff,,,,,,,
,,Also see: Why aren’t there enough houses to buy,,,,,
,,They also noted remarks by Guo Shuqing chairman of the China Banking and Insurance Regulatory Commission who called on banking institutions to properly manage risk in their stock-pledge business while allowing insurers to launch special products that would provide liquidity to companies facing pledging-related difficulties.,,,,,
1. Early retirees are not withdrawing from life. They’re embracing a purposeful life MORE fully than ever.,,,,,,,
,,Hello there MarketWatchers. Check out the Moneyist private Facebook group where we look for answers to life’s thorniest money issues. Readers write in to me with all sorts of dilemmas: inheritance wills divorce tipping gifting. I often talk to lawyers accountants financial advisers and other experts in addition to offering my own thoughts. I receive more letters than I could ever answer so I’ll be bringing all of that guidance — including some you might not see in these columns — to this group. Post your questions tell me what you want to know more about or weigh in on the latest Moneyist columns.,,,,,
,,Read: Why the executive exodus at Snap could actually be a positive,,,,,
,,Read: We’re probably at peak housing. Here’s what that means.,,,,,
,,There are some important differences between now and 2015 analysts said. For example authorities appear to be using changes in regulations including allowing insurers to issue special products to fund listed companies and to alleviate stress Darby said noting that local governments have also stepped in to backstop share sales.,,,,,
,,Shilpa Lawande a CEO and co-founder of the artificial intelligence startup in the health care space postscript.us also found herself confronting labels of assertiveness or aggressiveness. She chose to take it as constructive feedback and strove toward finding more balance based on each situation.,,,,,
,,That’s the drill. But is it the right one, A more comprehensive approach consists of a series of deeper discussions that Bob Veres calls “collaborative planning.” A longtime commentator on the financial planning business Veres is publisher of Inside Information an information service for advisers.,,,,
,,He began to think about what he calls “the value of the Realtor to the consumer” and the more he researched the more convinced he became that professional real estate agents are redundant.,,,,,
,Don’t miss: Watch out for ‘dead cat bounce’ in stocks says Morgan Stanley’s Wilson,,,,,,
,,• Circumstances beyond your control prevented the rollover (e.g. physical limitations or reliance to your detriment on someone else),,,,,
A separate Harvard University study concluded that you could add 10 years to your life by eating a healthy diet exercising 30 minutes or more a day maintaining a healthy weight — a body mass index between 18.5 and 24.9 — never smoking and drinking only a moderate amount of alcohol. It analyzed 34 years of data from 78000 women and 27 years of data from 44000 men.,,,,,,,
,,The other common reason to keep everything in a 401(k) is if you were planning on doing a so-called “back door” Roth IRA. A balance in a traditional IRA of pretax money from old 401(k)s would make that less attractive due to tax consequences and record-keeping.,,,,,
,3. The retirement plans of most early retirees aren’t naive fragile castles built on sand. At least the ones I know of are anti-fragile multilayered flexible plans built on a combination of investment savings retirement accounts side businesses and backup plans.,,,,,,
,,Automation also paves the way for aging advisers to improve the long-term viability of their practice. Rather than continue to impose a minimum asset requirement of $1 million or more for new clients Veres posits that those advisers who streamline their operation are better positioned to welcome what he calls “the blue ocean of middle-income clients” who can grow with the firm as they accumulate assets over time.,,,,,
,,The second chart illustrates how the average global import tariff could climb to levels last seen during George W. Bush’s first presidential term.,,,,,
,,Goldman’s Terry will be looking for commentary on ad prices along with general updates about monetization efforts.,,,,,
,,I want to share another cautionary tale with you. This one involves a daughter who grew up with everything. Her name is Frances Stroh and she was heir to the Stroh beer fortune in Detroit. At one point her family’s company was valued at close to $1 billion. They lost it all. She was left with $200000 in stock. She never touched that $200000 and used it to invest in technology stocks and real estate. She worked part-time and is now a landlord in San Francisco with several properties.,,,,,
,,Dear Moneyist,,,,,
,,"November natural gas NGX18 +0.37%

     added 2.4% to settle at $3.212 per million British thermal units.",,,,,
,Cannabis investors have done an about-face as marijuana became fully legal for adults in Canada on Oct. 17. In the two months leading up to legalization the Horizons ETF had run up 47%.,,,,,,
,Investors may want to take advantage of the technique we often use at The Arora Report to double returns and lower risks. In this technique core positions are built by scaling into select stocks in the buy zones for the longer term. Then the long-term positions are surrounded by short-term trades in an opportunistic manner.,,,,,,
,And people tend to learn new skills. For most it’s a language or an instrument or home cooking. For Suze it was fishing and tournaments and being a captain of a boat.,,,,,,
